,lval,op,rval,Estimate,Est. Std,Std. Err,z-value,p-value
0,traffic_safety,~,traffic_seg,-2.893243445580641,-0.0,0.2266901249917534,-12.762988443687739,0.0
1,traffic_safety,~,social_seg,11.755904739667045,1.5969767631661629,1.9604542189545688,5.996520921529092,2.01589656079193e-09
2,traffic_safety,~,beauty_seg,2.1931763530386426,,0.17508958284738993,12.526024206349923,0.0
3,social_safety,~,social_seg,10.526911850345536,1.2688393510012355,1.7152374433279565,6.137291306977744,8.394038797376879e-10
4,social_safety,~,traffic_seg,-2.3816868409339746,-0.0,0.18696878793922558,-12.73841942910496,0.0
5,social_safety,~,beauty_seg,1.6765526274513756,,0.14345636304936513,11.68684742734462,0.0
6,beauty,~,beauty_seg,1.7871749666353196,,0.14249726419671144,12.541819498763559,0.0
7,beauty,~,traffic_seg,-2.324763156140583,-0.0,0.18262361236121702,-12.729805998633028,0.0
8,beauty,~,social_seg,8.734870013515263,1.5320247604402135,1.5002259818144887,5.8223695092554095,5.801909619407297e-09
9,road,~,traffic_seg,1.0,0.0,-,-,-
10,car_pixels,~,traffic_seg,0.9631108585091683,0.0,0.04724199185983092,20.386753830075033,0.0
11,bicycle_pixels,~,traffic_seg,0.22582623792024967,0.0,0.0267292584907562,8.448653298403272,0.0
12,truck_pixels,~,traffic_seg,0.4409810753939195,0.0,0.031144365712138466,14.159256908799032,0.0
13,traffic_sign_pixels,~,traffic_seg,0.01149677497651097,0.0,0.02494690032757575,0.460849838059514,0.6449063425332873
14,person_pixels,~,social_seg,1.0,0.11655428006379533,-,-,-
15,building,~,social_seg,9.128883146268977,1.0,1.2827224643412174,7.116803049793227,1.1046719095020308e-12
16,sidewalk,~,social_seg,-4.114706174671677,-0.473540469468506,0.5849551206819588,-7.034225411801835,2.0037305148434825e-12
17,trees,~,beauty_seg,1.0,,-,-,-
18,grass,~,beauty_seg,0.7790957223760503,,0.03468434874075414,22.462457870461602,0.0
19,sky,~,beauty_seg,0.6268917603249796,,0.030084928229811025,20.837402553048403,0.0
20,water,~,beauty_seg,0.7152657833603715,,0.032720363699720666,21.859958217537105,0.0
21,plants,~,beauty_seg,0.6362763849365668,,0.030359905424201392,20.95778547479932,0.0
22,traffic_safety_rating,~,traffic_safety,1.0,0.8487315735348228,-,-,-
23,social_safety_rating,~,social_safety,1.0,0.9640832424608102,-,-,-
24,beauty_rating,~,beauty,1.0,0.6574204561694232,-,-,-
25,V_img,~,traffic_safety,-1.0166396083235636,-0.8548884411354367,0.10897967964604466,-9.328707990482087,0.0
26,V_img,~,social_safety,-0.2302933447437462,-0.21825323647798595,0.04177165254341869,-5.513149006945783,3.5246957352796926e-08
