,lval,op,rval,Estimate,Est. Std,Std. Err,z-value,p-value
0,road,~,traffic_seg,1.0,0.2626496477348139,-,-,-
1,car_pixels,~,traffic_seg,0.8458772615226138,0.2233964983801579,0.03934391689857673,21.499569137502775,0.0
2,bicycle_pixels,~,traffic_seg,0.22248042754489675,0.05951913050770324,0.026662972901150248,8.344171835652832,0.0
3,truck_pixels,~,traffic_seg,0.4547982109015354,0.12129419965655489,0.030420312045725803,14.95047816087364,0.0
4,traffic_sign_pixels,~,traffic_seg,-0.013692281943628709,-0.003666596446050085,0.025300057699803053,-0.5411956804823453,0.5883727144655588
5,person_pixels,~,social_seg,1.0,0.11364247478155891,-,-,-
6,building,~,social_seg,9.17570981511936,0.9999999999999998,1.3275761277959734,6.911626100377275,4.7912784850723256e-12
7,sidewalk,~,social_seg,-4.13474815479058,-0.4659383692338416,0.6029371274158059,-6.857677138751253,6.998845947236987e-12
8,trees,~,beauty_seg,1.0,0.0,-,-,-
9,grass,~,beauty_seg,0.7736152905956764,0.0,0.034546519244644684,22.393436661298573,0.0
10,sky,~,beauty_seg,0.586090844604291,0.0,0.028968755040188924,20.231827145176375,0.0
11,water,~,beauty_seg,0.7200376415524287,0.0,0.0329074643573632,21.880678307851337,0.0
12,plants,~,beauty_seg,0.632744399260492,0.0,0.030312816951670523,20.873823777197586,0.0
13,V_img,~,traffic_seg,-1.0077914414424756,-0.26470202193371617,0.10929933991971033,-9.220471433528909,0.0
14,V_img,~,social_seg,0.03810009190208841,0.004248662359125612,0.5333279129314011,0.0714383983628428,0.9430488501870984
15,V_img,~,beauty_seg,0.8041005561591762,0.0,0.08521381302829628,9.436270101922661,0.0
16,traffic_seg,~~,social_seg,0.026005398512199077,0.854166050304381,0.004071122969046181,6.387770328613798,1.6832180094183968e-10
17,traffic_seg,~~,beauty_seg,-0.286143601306569,-inf,0.01233782702629466,-23.192382311207705,0.0
18,traffic_seg,~~,traffic_seg,0.07171031073772442,1.0,0.015958586115099916,4.493525317094291,7.005368863222117e-06
19,social_seg,~~,beauty_seg,-0.04669687036417803,-inf,0.0069680016528286745,-6.701615855461188,2.061262271979558e-11
20,social_seg,~~,social_seg,0.01292590055707466,1.0,0.0037100407911827993,3.4840319233982644,0.0004939205715293049
21,beauty_seg,~~,beauty_seg,0.0,,0.009198719251419787,0.0,1.0
22,V_img,~~,V_img,0.5077070429524456,0.48843274222624367,0.030134006824925914,16.84830848699609,0.0
23,bicycle_pixels,~~,bicycle_pixels,0.9984144033117991,0.996457473103607,0.022962537494114282,43.48014253756715,0.0
24,building,~~,building,0.0,0.0,0.0272595497676761,0.0,1.0
25,car_pixels,~~,car_pixels,0.9768101420325557,0.9500940045114841,0.02436080370031229,40.097615579897145,0.0
26,grass,~~,grass,1.0001007029460685,0.9999999999999998,0.02370157136134778,42.19554423867543,0.0
27,person_pixels,~~,person_pixels,0.9879481855194028,0.9870853879255227,0.02277551708821204,43.377640193616465,0.0
28,plants,~~,plants,1.0000711408187208,0.9999999999999998,0.023344991180556093,42.838788545306265,0.0
29,road,~~,road,0.9677979838824039,0.9310151625447781,0.02599752193968394,37.22654744134984,0.0
30,sidewalk,~~,sidewalk,0.7969096274851792,0.7829014360757083,0.019185425486017597,41.537240236054835,0.0
31,sky,~~,sky,0.9999043751555541,1.0,0.023264398556069245,42.980022574093915,0.0
32,traffic_sign_pixels,~~,traffic_sign_pixels,1.0000027770173705,0.9999865560705018,0.02305083013639772,43.382506012005344,0.0
33,trees,~~,trees,0.999769894868409,1.0,0.02481373731431104,40.2909840691959,0.0
34,truck_pixels,~~,truck_pixels,0.9933495558727833,0.9852877171296757,0.02288241665650993,43.41104223127453,0.0
35,water,~~,water,1.0000135245533905,0.9999999999999998,0.023539508395570938,42.48234532795363,0.0
