epoch,train_loss,val_loss
1,0.19529952754916435,0.1911800816549477
2,0.19204304819317053,0.19061396688434248
3,0.19064971327148067,0.19049115975697836
4,0.18850429119625686,0.18914096659802376
5,0.1880200046794199,0.18851596624293226
6,0.18459356301828325,0.18900330354135933
7,0.1835422813666075,0.18942136291071032
8,0.18189198742694898,0.19110070729086584
9,0.17863684661839166,0.19143945063259585
10,0.17943129941379835,0.19370319192291152
11,0.17365627290628674,0.19144559625192736
12,0.17395563775513692,0.19489523366833408
