epoch,train_loss,val_loss
1,0.32175075473799886,0.29793617235007863
2,0.3008477430770862,0.2883920060827377
3,0.2913318258754756,0.28347248684429954
4,0.2876605944101251,0.2784459819184973
5,0.2830480642181142,0.2775115248159314
6,0.27789014247482985,0.27640116426116185
7,0.2734013114268796,0.27209030482785923
8,0.26740832109748186,0.27317612517810036
9,0.26629693913658914,0.2718665713959552
10,0.2579478196511236,0.27708109093050587
11,0.25649782673554067,0.27622080398789534
12,0.2514798022982019,0.2774133771023852
13,0.24531562851519864,0.2817479274797101
14,0.23585106001356468,0.2795160231015361
15,0.22690774512815945,0.2884647698267132
16,0.22173138676761403,0.29292562920996484
