epoch,train_loss,val_loss
1,3.0591055870056154,0.19083787278926118
2,3.049727035291267,0.19131228433433153
3,3.004318620219375,0.19075835892494689
4,3.0234831578803787,0.1902547795721825
5,2.9850645990082714,0.19054601378474675
6,3.001395760160504,0.1895884355754717
7,2.9941321127342455,0.19058859221478727
8,3.013967433120265,0.18952078979911532
9,2.9974373976389566,0.18970151065934635
10,2.9763961055062036,0.18873031215464814
11,2.971810921755704,0.1911400907428552
12,2.959749395197088,0.19087219026917263
13,2.950603740865534,0.1895098999036965
14,2.9392024155819056,0.19002720988388602
15,2.931561767693722,0.18964962502743335
16,2.937032284881129,0.19081001374738435
17,2.8874578793843586,0.1900135595747765
