epoch,train_loss,val_loss
1,4.181662496313991,0.12671370117376882
2,4.1611450120627165,0.12645174510090063
3,4.196772133011415,0.12654273856616188
4,4.193876318184726,0.1258284512986528
5,4.204933784094202,0.1262015979340736
6,4.117135564964938,0.12546489044284145
7,4.078645413180432,0.12497005310464412
8,4.161625043455377,0.12556426956298503
9,4.1776471252901,0.12486426542836723
10,4.125501457467137,0.12536204537601336
11,4.109793677387468,0.1255960929478314
12,4.139739381261618,0.12559348217984465
13,4.138464654784605,0.1257491982575004
14,4.176104726561581,0.1250602108366946
15,4.062043948345874,0.12531450538770528
16,4.10092176012246,0.12496710922701139
17,4.144374657826251,0.1252340463036341
18,4.105897340429834,0.12557846688209695
19,4.11680405111198,0.1255106917509796
